ID,Date,User,Screen Name,Location,Text,Source,Likes,RTs
1082440636362575872,2019-01-08 00:55:33,🌻Veronica🌻,Veerooniicaa_JB,"Cancún, México ☀️🌴","@ayudaizzi Hola, acabo de enviar por DM los datos que me pidieron. Espero pronta respuesta.",Twitter for iPad,0,0
1082440075840049152,2019-01-08 00:53:19,KRASO,KrasoCG,MEXICO,No me digan que otra vez está la zona afectada?!? Sin internet otra vez ?!? Que les pasa @ayudaizzi @izzi_mx ?!?!  ...,Twitter for Android,0,0
1082434821509472256,2019-01-08 00:32:26,LupitaVillegas,lupitave,"Tijuana, Mexico",@profeco de nuevo sin servicio y sin aviso previo por @ayudaizzi y continùa el  cobro normal sin considerar los dìas que no tengo señal,Twitter Web Client,0,0
1082433510600781824,2019-01-08 00:27:14,Peniche94,MRPICK94,,@ayudaizzi buenas noches discula en plan chac camoeche no hay servicio o soloe s problema en mk casa por dm ya tienen mi numero de contrato,Twitter for Android,0,0
1082432372983906304,2019-01-08 00:22:42,José flores ✭ ✭,Florescrjose,mexico,@ayudaizzi por que no avisan que va mal el internet carajo https://t.co/PKXVOoC2aJ,Twitter for Android,0,0
1082431192987774976,2019-01-08 00:18:01,Jorge De la Cerda,Superlinktaring,,"@ayudaizzi no estaba en la casa cuando vinieron a instalar, había un adulto mayor. ¿Cómo se supone que voy a abrir esa puerta? Tantito sentido común, por favor. https://t.co/x2RNBgpkS7",Twitter for Android,0,0
1082428029446443008,2019-01-08 00:05:27,LupitaVillegas,lupitave,"Tijuana, Mexico",@Bakerpower81 @ayudaizzi sigo sin servicio,Twitter Web Client,0,0
1082427969052835841,2019-01-08 00:05:13,Isidoro Guerson,iguerson,México D. F.,"Mande este  mensaje directo a @ayudaizzi pero no tengo respuesta ""Pueden o no  hacer algo para que se deje de cortar intermitente la transmisión""",Twitter for iPhone,0,0
1082426559732936704,2019-01-07 23:59:37,Daniel Rodriguez,DanielRodyes,matamoros tmps.,"Y continuó con lo mismo mi módem se reinicia cada 10-20 min Pago “50 megas” y vean 1 mes con el problema, 1 mes sin solución @ayudaizzi @izzi_mx @Profeco @AtencionProfeco https://t.co/cddAIwwQHh",Twitter for iPhone,0,0
1082425905887264769,2019-01-07 23:57:01,Dave,Dave_SaSa,Oaxaca,@gagonzalez21 @Profeco @ayudaizzi @izzi_mx A mi me están haciendo lo mismo !! Y después te culpan y dicen que es tu responsabilidad por cambiarte a un lugar donde no tienen cobertura 😂😂 todo por no querer pagar jajaja son unos loquillos,Twitter for iPhone,1,0
1082423261483450368,2019-01-07 23:46:30,Martín López,martoatlas,,@izzi_mx @ayudaizzi oigan llevo desde medio día sin internet!,Twitter for Android,0,0
1082423039432609793,2019-01-07 23:45:37,moneyag,moneyag,basically.....here,@izzi_mx @ayudaizzi hola. No tengo serviciode tv. Algún problema?,Twitter for Android,0,0
1082422023081656320,2019-01-07 23:41:35,Juanjo Lara,juanjo_larag,Mexico City,@ayudaizzi no tengo Internet desde hace horas y nadie me puede resolver nada,Twitter for Android,0,0
1082421030935703552,2019-01-07 23:37:38,Guillermo,gagonzalez21,,"@ayudaizzi Tan seguros estaban de que si hay servicio que programaron la visita del técnico para el cambio de servicio del domicilio, ya me pidieron bastantes disculpas, no quiero una disculpa, quiero mi servicio cancelado sin penalización y que capaciten bien a su personal.",Twitter Web Client,0,0
1082420621420589057,2019-01-07 23:36:01,Guillermo,gagonzalez21,,"@ayudaizzi Tengo internet, les pregunto si en una colonia de Puerto Vallarta existe cobertura de servicio, me dicen si, va el técnico y revisa la casa descubriendo que no hay cobertura, quiero cancelar por su error, pero me quieren cobrar una penalización, cuando ustedes son los del error.",Twitter Web Client,0,0
1082420147741253632,2019-01-07 23:34:08,Luis Diaz,Rynmattt,"Tijuana, Baja California",@ayudaizzi me podrían indicar si hay alguna falla general en el área de Tijuana? No cuento con ningún servicio,Twitter for Android,0,0
1082419837496905728,2019-01-07 23:32:54,VainillAchocolatada,marlaazul,Mejico,@ayudaizzi a los cuantos reportes me reembolsan por los dias sin internet 🤔 #espreguntaseria @Profeco,Twitter for Android,0,0
1082418931858661377,2019-01-07 23:29:18,antolin,Antolincg,,@ayudaizzi No te lo puedo confirmar por que estoy en horas laborales. Pero si llegando no tengo servicio te lo. Reporto no te preocupes... Gracias,Twitter for Android,0,0
1082417823899680768,2019-01-07 23:24:54,antolin,Antolincg,,"@ayudaizzi Y dice que mi servicio esta suspendido, siendo que me estas confirmando que mi pago fue realizado a tiempo. ¿PORQUE entonces dice que mi servicio está suspendido??",Twitter for Android,0,0
1082417421191925761,2019-01-07 23:23:18,antolin,Antolincg,,@ayudaizzi Adicional aún esta cargada la fact de diciembre https://t.co/hTD9EIAwxi,Twitter for Android,0,0
